Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
conda-package-handling,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
conda-package-streaming,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
confection,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
constantly,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
contourpy,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
cookiecutter,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
courlan,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cpp-expected,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cryptography,✅,❌,✅,✅,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌
cssselect,❌,❌,❌,✅,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
curlify,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cycler,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
cymem,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
cyrus-sasl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
cython-blis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
cytoolz,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
daal4py,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dal,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dask,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dask-core,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dataclasses,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
dataprep,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dateparser,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
datetime,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
db-dtypes,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dbus,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
debugpy,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
decorator,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
defusedxml,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
distlib,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌
distributed,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
distro,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌
django,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
dm-tree,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
docutils,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
double-conversion,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
entrypoints,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
etils,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
